time,symbol_id,symbol_name,last,trade_volume,trade_amount,open_interest_change,open,high,low,close,yesterday_settlementprice,yesterday_close,today_open,today_high,today_low,volume,amount,open_interest
2023-05-09 21:30:00,pp2310,pp2310,7244.0,2808.0,101679910.0,533.0,7242.0,7254.0,7229.0,7250.0,7306.0,7250.0,7242.0,7254.0,7229.0,2808.0,101679910.0,31924
2023-05-09 22:00:00,pp2310,pp2310,7261.0,1464.0,53097485.0,286.0,7243.0,7264.0,7238.0,7244.0,7306.0,7250.0,7242.0,7264.0,7229.0,4272.0,154777395.0,32210
2023-05-09 22:30:00,pp2310,pp2310,7244.0,1380.0,50034480.0,231.0,7261.0,7264.0,7241.0,7261.0,7306.0,7250.0,7242.0,7264.0,7229.0,5652.0,204811875.0,32441
2023-05-09 23:00:00,pp2310,pp2310,7242.0,1211.0,43846975.0,174.0,7244.0,7246.0,7236.0,7244.0,7306.0,7250.0,7242.0,7264.0,7229.0,6863.0,248658850.0,32615
2023-05-10 09:30:00,pp2310,pp2310,7250.0,3010.0,109229740.0,411.0,7242.0,7268.0,7242.0,7242.0,7306.0,7250.0,7242.0,7268.0,7229.0,9873.0,357888590.0,33026
2023-05-10 10:00:00,pp2310,pp2310,7235.0,1969.0,71289200.0,390.0,7251.0,7253.0,7230.0,7250.0,7306.0,7250.0,7242.0,7268.0,7229.0,11842.0,429177790.0,33416
2023-05-10 10:45:00,pp2310,pp2310,7232.0,1887.0,68247160.0,301.0,7235.0,7241.0,7224.0,7235.0,7306.0,7250.0,7242.0,7268.0,7224.0,13729.0,497424950.0,33717
2023-05-10 11:15:00,pp2310,pp2310,7224.0,2268.0,81898465.0,444.0,7232.0,7237.0,7210.0,7232.0,7306.0,7250.0,7242.0,7268.0,7210.0,15997.0,579323415.0,34161
2023-05-10 13:45:00,pp2310,pp2310,7234.0,1918.0,69305225.0,285.0,7224.0,7239.0,7217.0,7224.0,7306.0,7250.0,7242.0,7268.0,7210.0,17915.0,648628640.0,34446
2023-05-10 14:15:00,pp2310,pp2310,7229.0,1053.0,38086575.0,203.0,7234.0,7244.0,7225.0,7234.0,7306.0,7250.0,7242.0,7268.0,7210.0,18968.0,686715215.0,34649
2023-05-10 14:45:00,pp2310,pp2310,7237.0,906.0,32753965.0,108.0,7229.0,7237.0,7224.0,7229.0,7306.0,7250.0,7242.0,7268.0,7210.0,19874.0,719469180.0,34757
2023-05-10 15:00:00,pp2310,pp2310,7240.0,273.0,9877160.0,-3.0,7237.0,7240.0,7231.0,7237.0,7306.0,7250.0,7242.0,7268.0,7210.0,20147.0,729346340.0,34754
