,time,symbol_id,symbol_name,last,trade_volume,trade_amount,open_interest_change,bv1,bp1,ap1,av1,yesterday_close,today_open,today_high,today_low,volume,amount,open_interest,open,high,low,close,yesterday_settlementprice
0,2023-07-11 21:30:00,p2310,p2310,7508.0,1880.0,141655300.0,-926.0,22,7506.0,7508.0,8,7520.0,7550.0,7550.0,7498.0,1880.0,141655300.0,78563,7550.0,7550.0,7498.0,7520.0,7578.0
1,2023-07-11 22:00:00,p2310,p2310,7524.0,1817.0,136353240.0,-299.0,17,7520.0,7524.0,19,7520.0,7550.0,7550.0,7488.0,3697.0,278008540.0,78264,7506.0,7524.0,7488.0,7508.0,7578.0
2,2023-07-11 22:30:00,p2310,p2310,7504.0,932.0,70074700.0,-183.0,8,7502.0,7506.0,43,7520.0,7550.0,7550.0,7488.0,4629.0,348083240.0,78081,7524.0,7538.0,7498.0,7524.0,7578.0
3,2023-07-11 23:00:00,p2310,p2310,7524.0,961.0,72202600.0,-160.0,3,7486.0,7542.0,10,7520.0,7550.0,7550.0,7488.0,5590.0,420285840.0,77921,7504.0,7540.0,7490.0,7504.0,7578.0
4,2023-07-12 09:30:00,p2310,p2310,7552.0,1817.0,137350240.0,-177.0,2,7550.0,7554.0,25,7520.0,7550.0,7576.0,7488.0,7407.0,557636080.0,77744,7542.0,7576.0,7542.0,7524.0,7578.0
5,2023-07-12 10:00:00,p2310,p2310,7554.0,803.0,60668420.0,-183.0,25,7552.0,7556.0,5,7520.0,7550.0,7576.0,7488.0,8210.0,618304500.0,77561,7552.0,7570.0,7536.0,7552.0,7578.0
6,2023-07-12 10:45:00,p2310,p2310,7566.0,783.0,59239200.0,-80.0,21,7566.0,7570.0,35,7520.0,7550.0,7586.0,7488.0,8993.0,677543700.0,77481,7554.0,7586.0,7550.0,7554.0,7578.0
7,2023-07-12 11:15:00,p2310,p2310,7576.0,837.0,63361640.0,-127.0,1,7572.0,7576.0,6,7520.0,7550.0,7586.0,7488.0,9830.0,740905340.0,77354,7566.0,7582.0,7554.0,7566.0,7578.0
8,2023-07-12 13:45:00,p2310,p2310,7558.0,476.0,36008360.0,-25.0,3,7558.0,7562.0,25,7520.0,7550.0,7586.0,7488.0,10306.0,776913700.0,77329,7576.0,7578.0,7550.0,7576.0,7578.0
9,2023-07-12 14:15:00,p2310,p2310,7546.0,426.0,32169200.0,-12.0,69,7544.0,7550.0,45,7520.0,7550.0,7586.0,7488.0,10732.0,809082900.0,77317,7558.0,7560.0,7544.0,7558.0,7578.0
10,2023-07-12 14:45:00,p2310,p2310,7514.0,954.0,71802980.0,-82.0,57,7512.0,7516.0,21,7520.0,7550.0,7586.0,7488.0,11686.0,880885880.0,77235,7546.0,7546.0,7510.0,7546.0,7578.0
11,2023-07-12 15:00:00,p2310,p2310,7524.0,310.0,23311740.0,-14.0,24,7512.0,7542.0,2,7520.0,7550.0,7586.0,7488.0,11996.0,904197620.0,77221,7514.0,7526.0,7514.0,7514.0,7578.0
