,time,symbol_id,symbol_name,last,trade_volume,trade_amount,open_interest_change,bv1,bp1,ap1,av1,yesterday_close,today_open,today_high,today_low,volume,amount,open_interest,open,high,low,close,yesterday_settlementprice
0,2023-07-10 21:30:00,p2310,p2310,7568.0,2550.0,192565300.0,-1122.0,6,7566.0,7568.0,1,7508.0,7528.0,7588.0,7528.0,2550.0,192565300.0,81027,7528.0,7588.0,7528.0,7508.0,7444.0
1,2023-07-10 22:00:00,p2310,p2310,7584.0,1590.0,120633600.0,-161.0,8,7580.0,7584.0,20,7508.0,7528.0,7602.0,7528.0,4140.0,313198900.0,80866,7568.0,7602.0,7566.0,7568.0,7444.0
2,2023-07-10 22:30:00,p2310,p2310,7610.0,1052.0,79927160.0,-127.0,5,7610.0,7612.0,33,7508.0,7528.0,7614.0,7528.0,5192.0,393126060.0,80739,7584.0,7614.0,7580.0,7584.0,7444.0
3,2023-07-10 23:00:00,p2310,p2310,7648.0,2000.0,152518600.0,-393.0,1,7606.0,7678.0,65,7508.0,7528.0,7648.0,7528.0,7192.0,545644660.0,80346,7610.0,7648.0,7606.0,7610.0,7444.0
4,2023-07-11 09:30:00,p2310,p2310,7628.0,2285.0,174661980.0,-224.0,13,7626.0,7630.0,12,7508.0,7528.0,7674.0,7528.0,9477.0,720306640.0,80122,7648.0,7674.0,7620.0,7648.0,7444.0
5,2023-07-11 10:00:00,p2310,p2310,7578.0,2480.0,188264840.0,-225.0,75,7574.0,7580.0,16,7508.0,7528.0,7674.0,7528.0,11957.0,908571480.0,79897,7628.0,7634.0,7562.0,7628.0,7444.0
6,2023-07-11 10:45:00,p2310,p2310,7580.0,1740.0,131643260.0,-20.0,8,7578.0,7582.0,36,7508.0,7528.0,7674.0,7528.0,13697.0,1040214740.0,79877,7578.0,7588.0,7534.0,7578.0,7444.0
7,2023-07-11 11:15:00,p2310,p2310,7564.0,1251.0,94711700.0,-58.0,4,7560.0,7564.0,29,7508.0,7528.0,7674.0,7528.0,14948.0,1134926440.0,79819,7580.0,7582.0,7552.0,7580.0,7444.0
8,2023-07-11 13:45:00,p2310,p2310,7562.0,1170.0,88526000.0,-133.0,2,7560.0,7564.0,54,7508.0,7528.0,7674.0,7528.0,16118.0,1223452440.0,79686,7564.0,7576.0,7556.0,7564.0,7444.0
9,2023-07-11 14:15:00,p2310,p2310,7536.0,1728.0,130074000.0,-50.0,68,7532.0,7536.0,12,7508.0,7528.0,7674.0,7502.0,17846.0,1353526440.0,79636,7562.0,7562.0,7502.0,7562.0,7444.0
10,2023-07-11 14:45:00,p2310,p2310,7526.0,1116.0,84020500.0,-134.0,2,7524.0,7528.0,72,7508.0,7528.0,7674.0,7502.0,18962.0,1437546940.0,79502,7536.0,7540.0,7518.0,7536.0,7444.0
11,2023-07-11 15:00:00,p2310,p2310,7520.0,914.0,68741000.0,-13.0,2,7510.0,7528.0,10,7508.0,7528.0,7674.0,7502.0,19876.0,1506287940.0,79489,7526.0,7534.0,7512.0,7526.0,7444.0
