,time,symbol_id,symbol_name,last,trade_volume,trade_amount,open_interest_change,open,high,low,close,yesterday_settlementprice,yesterday_close,today_open,today_high,today_low,volume,amount,open_interest
0,2023-09-27 21:30:00,zn2401C21800,zn2401C21800,586.0,0.0,0.0,0.0,586.0,586.0,586.0,586.0,586.0,586.0,586.0,586.0,586.0,0.0,0.0,0
1,2023-09-27 22:00:00,zn2401C21800,zn2401C21800,586.0,0.0,0.0,0.0,586.0,586.0,586.0,586.0,586.0,586.0,586.0,586.0,586.0,0.0,0.0,0
2,2023-09-27 22:30:00,zn2401C21800,zn2401C21800,586.0,0.0,0.0,0.0,586.0,586.0,586.0,586.0,586.0,586.0,586.0,586.0,586.0,0.0,0.0,0
3,2023-09-27 23:00:00,zn2401C21800,zn2401C21800,586.0,0.0,0.0,0.0,586.0,586.0,586.0,586.0,586.0,586.0,586.0,586.0,586.0,0.0,0.0,0
4,2023-09-27 23:30:00,zn2401C21800,zn2401C21800,586.0,0.0,0.0,0.0,586.0,586.0,586.0,586.0,586.0,586.0,586.0,586.0,586.0,0.0,0.0,0
5,2023-09-28,zn2401C21800,zn2401C21800,586.0,0.0,0.0,0.0,586.0,586.0,586.0,586.0,586.0,586.0,586.0,586.0,586.0,0.0,0.0,0
6,2023-09-28 00:30:00,zn2401C21800,zn2401C21800,586.0,0.0,0.0,0.0,586.0,586.0,586.0,586.0,586.0,586.0,586.0,586.0,586.0,0.0,0.0,0
7,2023-09-28 01:00:00,zn2401C21800,zn2401C21800,586.0,0.0,0.0,0.0,586.0,586.0,586.0,586.0,586.0,586.0,586.0,586.0,586.0,0.0,0.0,0
8,2023-09-28 09:30:00,zn2401C21800,zn2401C21800,586.0,0.0,0.0,0.0,586.0,586.0,586.0,586.0,586.0,586.0,586.0,586.0,586.0,0.0,0.0,0
9,2023-09-28 10:00:00,zn2401C21800,zn2401C21800,586.0,0.0,0.0,0.0,586.0,586.0,586.0,586.0,586.0,586.0,586.0,586.0,586.0,0.0,0.0,0
10,2023-09-28 10:45:00,zn2401C21800,zn2401C21800,586.0,0.0,0.0,0.0,586.0,586.0,586.0,586.0,586.0,586.0,586.0,586.0,586.0,0.0,0.0,0
11,2023-09-28 11:15:00,zn2401C21800,zn2401C21800,586.0,0.0,0.0,0.0,586.0,586.0,586.0,586.0,586.0,586.0,586.0,586.0,586.0,0.0,0.0,0
12,2023-09-28 13:45:00,zn2401C21800,zn2401C21800,586.0,0.0,0.0,0.0,586.0,586.0,586.0,586.0,586.0,586.0,586.0,586.0,586.0,0.0,0.0,0
13,2023-09-28 14:15:00,zn2401C21800,zn2401C21800,586.0,0.0,0.0,0.0,586.0,586.0,586.0,586.0,586.0,586.0,586.0,586.0,586.0,0.0,0.0,0
14,2023-09-28 14:45:00,zn2401C21800,zn2401C21800,586.0,0.0,0.0,0.0,586.0,586.0,586.0,586.0,586.0,586.0,586.0,586.0,586.0,0.0,0.0,0
15,2023-09-28 15:00:00,zn2401C21800,zn2401C21800,482.0,1.0,2410.0,1.0,482.0,482.0,482.0,586.0,586.0,586.0,482.0,482.0,482.0,1.0,2410.0,1
16,2023-10-06 21:30:00,zn2401C21800,zn2401C21800,482.0,0.0,0.0,0.0,482.0,482.0,482.0,482.0,541.0,482.0,482.0,482.0,482.0,0.0,0.0,1
17,2023-10-06 22:00:00,zn2401C21800,zn2401C21800,482.0,0.0,0.0,0.0,482.0,482.0,482.0,482.0,541.0,482.0,482.0,482.0,482.0,0.0,0.0,1
18,2023-10-06 22:30:00,zn2401C21800,zn2401C21800,482.0,0.0,0.0,0.0,482.0,482.0,482.0,482.0,541.0,482.0,482.0,482.0,482.0,0.0,0.0,1
19,2023-10-06 23:00:00,zn2401C21800,zn2401C21800,482.0,0.0,0.0,0.0,482.0,482.0,482.0,482.0,541.0,482.0,482.0,482.0,482.0,0.0,0.0,1
20,2023-10-06 23:30:00,zn2401C21800,zn2401C21800,482.0,0.0,0.0,0.0,482.0,482.0,482.0,482.0,541.0,482.0,482.0,482.0,482.0,0.0,0.0,1
21,2023-10-07,zn2401C21800,zn2401C21800,482.0,0.0,0.0,0.0,482.0,482.0,482.0,482.0,541.0,482.0,482.0,482.0,482.0,0.0,0.0,1
22,2023-10-07 00:30:00,zn2401C21800,zn2401C21800,482.0,0.0,0.0,0.0,482.0,482.0,482.0,482.0,541.0,482.0,482.0,482.0,482.0,0.0,0.0,1
23,2023-10-07 01:00:00,zn2401C21800,zn2401C21800,482.0,0.0,0.0,0.0,482.0,482.0,482.0,482.0,541.0,482.0,482.0,482.0,482.0,0.0,0.0,1
24,2023-10-09 09:30:00,zn2401C21800,zn2401C21800,482.0,0.0,0.0,0.0,482.0,482.0,482.0,482.0,541.0,482.0,482.0,482.0,482.0,0.0,0.0,1
25,2023-10-09 10:00:00,zn2401C21800,zn2401C21800,482.0,0.0,0.0,0.0,482.0,482.0,482.0,482.0,541.0,482.0,482.0,482.0,482.0,0.0,0.0,1
26,2023-10-09 10:45:00,zn2401C21800,zn2401C21800,545.0,4.0,10915.0,4.0,548.0,548.0,545.0,482.0,541.0,482.0,548.0,548.0,545.0,4.0,10915.0,5
27,2023-10-09 11:15:00,zn2401C21800,zn2401C21800,545.0,0.0,0.0,0.0,545.0,545.0,545.0,545.0,541.0,482.0,548.0,548.0,545.0,4.0,10915.0,5
28,2023-10-09 13:45:00,zn2401C21800,zn2401C21800,545.0,0.0,0.0,0.0,545.0,545.0,545.0,545.0,541.0,482.0,548.0,548.0,545.0,4.0,10915.0,5
29,2023-10-09 14:15:00,zn2401C21800,zn2401C21800,545.0,0.0,0.0,0.0,545.0,545.0,545.0,545.0,541.0,482.0,548.0,548.0,545.0,4.0,10915.0,5
