,time,symbol_id,symbol_name,last,trade_volume,trade_amount,open_interest_change,bv1,bp1,ap1,av1,prev_close,open,high,low,volume,amount,open_interest
0,9/13/2023 20:59,au2309,au2309,470.04,0,0,0,0,0,496.24,3,470.04,0,0,0,0,0,69
1,9/13/2023 21:04,au2309,au2309,470.04,0,0,0,6,458.42,496.24,3,470.04,0,0,0,0,0,69
2,9/13/2023 21:04,au2309,au2309,470.04,0,0,0,3,458.44,496.22,3,470.04,0,0,0,0,0,69
3,9/13/2023 21:04,au2309,au2309,470.04,0,0,0,6,458.88,496.22,3,470.04,0,0,0,0,0,69
4,9/13/2023 21:04,au2309,au2309,470.04,0,0,0,3,458.9,496.22,3,470.04,0,0,0,0,0,69
5,9/13/2023 21:05,au2309,au2309,470.04,0,0,0,6,460.12,496.22,3,470.04,0,0,0,0,0,69
6,9/13/2023 21:05,au2309,au2309,470.04,0,0,0,3,460.14,496.22,3,470.04,0,0,0,0,0,69
7,9/13/2023 21:07,au2309,au2309,470.04,0,0,0,3,460.14,496.22,3,470.04,0,0,0,0,0,69
8,9/13/2023 21:07,au2309,au2309,470.04,0,0,0,3,460.14,496.22,6,470.04,0,0,0,0,0,69
9,9/13/2023 21:09,au2309,au2309,470.04,0,0,0,6,460.16,496.22,6,470.04,0,0,0,0,0,69
10,9/13/2023 21:14,au2309,au2309,470.04,0,0,0,63,461,496.22,6,470.04,0,0,0,0,0,69
11,9/13/2023 21:16,au2309,au2309,470.04,0,0,0,6,461.04,496.22,6,470.04,0,0,0,0,0,69
12,9/13/2023 21:22,au2309,au2309,470.04,0,0,0,6,461.04,496.22,9,470.04,0,0,0,0,0,69
13,9/13/2023 21:22,au2309,au2309,470.04,0,0,0,6,461.04,496.22,12,470.04,0,0,0,0,0,69
14,9/13/2023 21:35,au2309,au2309,470.04,0,0,0,3,461.06,496.22,12,470.04,0,0,0,0,0,69
15,9/13/2023 22:04,au2309,au2309,470.04,0,0,0,6,461.08,496.22,12,470.04,0,0,0,0,0,69
16,9/13/2023 22:47,au2309,au2309,470.04,0,0,0,6,461.08,496.22,12,470.04,0,0,0,0,0,69
17,9/13/2023 22:47,au2309,au2309,470.04,0,0,0,63,461.2,496.22,12,470.04,0,0,0,0,0,69
18,9/13/2023 22:59,au2309,au2309,470.04,0,0,0,6,461.22,496.22,12,470.04,0,0,0,0,0,69
19,9/14/2023 1:42,au2309,au2309,470.04,0,0,0,3,461.24,496.22,12,470.04,0,0,0,0,0,69
20,9/14/2023 2:28,au2309,au2309,470.04,0,0,0,6,461.22,496.22,12,470.04,0,0,0,0,0,69
21,9/14/2023 8:59,au2309,au2309,470.04,0,0,0,6,461.22,496.22,9,470.04,0,0,0,0,0,69
22,9/14/2023 9:00,au2309,au2309,470.04,0,0,0,6,461.22,496.2,3,470.04,0,0,0,0,0,69
23,9/14/2023 9:00,au2309,au2309,470.04,0,0,0,3,461.24,496.2,3,470.04,0,0,0,0,0,69
24,9/14/2023 9:06,au2309,au2309,470.04,0,0,0,3,461.24,496.2,3,470.04,0,0,0,0,0,69
25,9/14/2023 9:06,au2309,au2309,470.04,0,0,0,3,461.24,496.2,6,470.04,0,0,0,0,0,69
26,9/14/2023 9:06,au2309,au2309,470.04,0,0,0,3,461.24,496.2,6,470.04,0,0,0,0,0,69
27,9/14/2023 9:06,au2309,au2309,470.04,0,0,0,3,461.24,496.2,9,470.04,0,0,0,0,0,69
28,9/14/2023 9:06,au2309,au2309,470.04,0,0,0,3,461.24,496.2,9,470.04,0,0,0,0,0,69
29,9/14/2023 9:06,au2309,au2309,470.04,0,0,0,3,461.24,496.2,12,470.04,0,0,0,0,0,69
30,9/14/2023 9:07,au2309,au2309,470.04,0,0,0,6,469,496.2,12,470.04,0,0,0,0,0,69
31,9/14/2023 9:36,au2309,au2309,470.04,0,0,0,6,469,496.16,3,470.04,0,0,0,0,0,69
32,9/14/2023 9:42,au2309,au2309,470.04,0,0,0,6,469,496.16,3,470.04,0,0,0,0,0,69
33,9/14/2023 9:42,au2309,au2309,470.04,0,0,0,6,469,496.16,6,470.04,0,0,0,0,0,69
34,9/14/2023 9:43,au2309,au2309,470.04,0,0,0,6,469,496.16,9,470.04,0,0,0,0,0,69
35,9/14/2023 9:43,au2309,au2309,470.04,0,0,0,6,469,496.16,9,470.04,0,0,0,0,0,69
36,9/14/2023 9:43,au2309,au2309,470.04,0,0,0,6,469,496.16,12,470.04,0,0,0,0,0,69
37,9/14/2023 9:49,au2309,au2309,470.04,0,0,0,6,469,495,15,470.04,0,0,0,0,0,69
38,9/14/2023 9:49,au2309,au2309,470.04,0,0,0,6,469,494.98,3,470.04,0,0,0,0,0,69
39,9/14/2023 9:49,au2309,au2309,470.04,0,0,0,6,469,494,15,470.04,0,0,0,0,0,69
40,9/14/2023 9:49,au2309,au2309,470.04,0,0,0,6,469,493.98,3,470.04,0,0,0,0,0,69
