time,symbol_id,symbol_name,last,trade_volume,trade_amount,open_interest_change,bv1,bp1,ap1,av1,yesterday_close,today_open,today_high,today_low,volume,amount,open_interest
2023-05-09 21:00:54,l2401-P-8700,l2401-P-8700,961.5,0.0,0.0,0.0,1,528.0,0.0,0,961.5,0.0,0.0,0.0,0.0,0.0,1
2023-05-09 21:00:54,l2401-P-8700,l2401-P-8700,961.5,0.0,0.0,0.0,10,528.5,0.0,0,961.5,0.0,0.0,0.0,0.0,0.0,1
2023-05-09 22:56:58,l2401-P-8700,l2401-P-8700,961.5,0.0,0.0,0.0,1,528.0,0.0,0,961.5,0.0,0.0,0.0,0.0,0.0,1
2023-05-09 22:59:04,l2401-P-8700,l2401-P-8700,961.5,0.0,0.0,0.0,0,0.0,0.0,0,961.5,0.0,0.0,0.0,0.0,0.0,1
2023-05-10 09:01:00,l2401-P-8700,l2401-P-8700,961.5,0.0,0.0,0.0,1,506.5,0.0,0,961.5,0.0,0.0,0.0,0.0,0.0,1
2023-05-10 09:01:00,l2401-P-8700,l2401-P-8700,961.5,0.0,0.0,0.0,10,507.0,0.0,0,961.5,0.0,0.0,0.0,0.0,0.0,1
2023-05-10 10:14:32,l2401-P-8700,l2401-P-8700,961.5,0.0,0.0,0.0,1,506.5,0.0,0,961.5,0.0,0.0,0.0,0.0,0.0,1
2023-05-10 10:30:05,l2401-P-8700,l2401-P-8700,961.5,0.0,0.0,0.0,10,507.0,0.0,0,961.5,0.0,0.0,0.0,0.0,0.0,1
2023-05-10 11:29:32,l2401-P-8700,l2401-P-8700,961.5,0.0,0.0,0.0,1,506.5,0.0,0,961.5,0.0,0.0,0.0,0.0,0.0,1
2023-05-10 13:30:02,l2401-P-8700,l2401-P-8700,961.5,0.0,0.0,0.0,10,507.0,0.0,0,961.5,0.0,0.0,0.0,0.0,0.0,1
2023-05-10 14:59:01,l2401-P-8700,l2401-P-8700,961.5,0.0,0.0,0.0,1,506.5,0.0,0,961.5,0.0,0.0,0.0,0.0,0.0,1
2023-05-10 15:01:15,l2401-P-8700,l2401-P-8700,961.5,0.0,0.0,0.0,1,506.5,0.0,0,961.5,0.0,0.0,0.0,0.0,0.0,1
