time,symbol_id,symbol_name,last,trade_volume,trade_amount,open_interest_change,open,high,low,close,yesterday_settlementprice,yesterday_close,today_open,today_high,today_low,volume,amount,open_interest
2023-05-09 21:30:00,ss2401,ss2401,14575.0,20.0,1458900.0,-3.0,14605.0,14610.0,14565.0,14610.0,14650.0,14610.0,14605.0,14610.0,14565.0,20.0,1458900.0,589
2023-05-09 22:00:00,ss2401,ss2401,14575.0,2.0,145750.0,1.0,14575.0,14575.0,14575.0,14575.0,14650.0,14610.0,14605.0,14610.0,14565.0,22.0,1604650.0,590
2023-05-09 22:30:00,ss2401,ss2401,14520.0,6.0,436625.0,2.0,14575.0,14580.0,14520.0,14575.0,14650.0,14610.0,14605.0,14610.0,14520.0,28.0,2041275.0,592
2023-05-09 23:00:00,ss2401,ss2401,14545.0,4.0,290800.0,2.0,14520.0,14555.0,14520.0,14520.0,14650.0,14610.0,14605.0,14610.0,14520.0,32.0,2332075.0,594
2023-05-09 23:30:00,ss2401,ss2401,14520.0,8.0,580425.0,6.0,14545.0,14545.0,14505.0,14545.0,14650.0,14610.0,14605.0,14610.0,14505.0,40.0,2912500.0,600
2023-05-10,ss2401,ss2401,14525.0,3.0,217875.0,0.0,14520.0,14525.0,14520.0,14520.0,14650.0,14610.0,14605.0,14610.0,14505.0,43.0,3130375.0,600
2023-05-10 00:30:00,ss2401,ss2401,14510.0,2.0,145100.0,1.0,14525.0,14525.0,14510.0,14525.0,14650.0,14610.0,14605.0,14610.0,14505.0,45.0,3275475.0,601
2023-05-10 01:00:00,ss2401,ss2401,14520.0,6.0,435600.0,1.0,14510.0,14520.0,14510.0,14510.0,14650.0,14610.0,14605.0,14610.0,14505.0,51.0,3711075.0,602
2023-05-10 09:30:00,ss2401,ss2401,14520.0,0.0,0.0,0.0,14520.0,14520.0,14520.0,14520.0,14650.0,14610.0,14605.0,14610.0,14505.0,51.0,3711075.0,602
2023-05-10 10:00:00,ss2401,ss2401,14555.0,2.0,145625.0,1.0,14520.0,14570.0,14520.0,14520.0,14650.0,14610.0,14605.0,14610.0,14505.0,53.0,3856700.0,603
2023-05-10 10:45:00,ss2401,ss2401,14555.0,0.0,0.0,0.0,14555.0,14555.0,14555.0,14555.0,14650.0,14610.0,14605.0,14610.0,14505.0,53.0,3856700.0,603
2023-05-10 11:15:00,ss2401,ss2401,14550.0,5.0,363725.0,-3.0,14555.0,14555.0,14545.0,14555.0,14650.0,14610.0,14605.0,14610.0,14505.0,58.0,4220425.0,600
2023-05-10 13:45:00,ss2401,ss2401,14555.0,10.0,727650.0,4.0,14550.0,14560.0,14550.0,14550.0,14650.0,14610.0,14605.0,14610.0,14505.0,68.0,4948075.0,604
2023-05-10 14:15:00,ss2401,ss2401,14645.0,12.0,877275.0,4.0,14555.0,14730.0,14555.0,14555.0,14650.0,14610.0,14605.0,14730.0,14505.0,80.0,5825350.0,608
2023-05-10 14:45:00,ss2401,ss2401,14605.0,3.0,219075.0,1.0,14645.0,14645.0,14605.0,14645.0,14650.0,14610.0,14605.0,14730.0,14505.0,83.0,6044425.0,609
2023-05-10 15:00:00,ss2401,ss2401,14620.0,2.0,146200.0,-2.0,14605.0,14620.0,14605.0,14605.0,14650.0,14610.0,14605.0,14730.0,14505.0,85.0,6190625.0,607
