time,symbol_id,symbol_name,last,trade_volume,trade_amount,open_interest_change,open,high,low,close,yesterday_settlementprice,yesterday_close,today_open,today_high,today_low,volume,amount,open_interest
2023-05-09 21:30:00,MA311C2325,MA311C2325,129.5,0.0,0.0,0.0,129.5,129.5,129.5,129.5,129.5,129.5,129.5,129.5,129.5,0.0,0.0,3
2023-05-09 22:00:00,MA311C2325,MA311C2325,129.5,0.0,0.0,0.0,129.5,129.5,129.5,129.5,129.5,129.5,129.5,129.5,129.5,0.0,0.0,3
2023-05-09 22:30:00,MA311C2325,MA311C2325,116.0,2.0,232.0,2.0,116.0,116.0,116.0,129.5,129.5,129.5,116.0,116.0,116.0,2.0,232.0,5
2023-05-09 23:00:00,MA311C2325,MA311C2325,116.0,0.0,0.0,0.0,116.0,116.0,116.0,116.0,129.5,129.5,116.0,116.0,116.0,2.0,232.0,5
2023-05-10 09:30:00,MA311C2325,MA311C2325,113.5,3.0,340.5,3.0,116.0,116.0,113.5,116.0,129.5,129.5,116.0,116.0,113.5,5.0,572.5,8
2023-05-10 10:00:00,MA311C2325,MA311C2325,113.5,2.0,225.5,-2.0,113.5,113.5,113.5,113.5,129.5,129.5,116.0,116.0,113.5,7.0,798.0,6
2023-05-10 10:45:00,MA311C2325,MA311C2325,113.5,0.0,0.0,0.0,113.5,113.5,113.5,113.5,129.5,129.5,116.0,116.0,113.5,7.0,798.0,6
2023-05-10 11:15:00,MA311C2325,MA311C2325,113.5,0.0,0.0,0.0,113.5,113.5,113.5,113.5,129.5,129.5,116.0,116.0,113.5,7.0,798.0,6
2023-05-10 13:45:00,MA311C2325,MA311C2325,113.5,0.0,0.0,0.0,113.5,113.5,113.5,113.5,129.5,129.5,116.0,116.0,113.5,7.0,798.0,6
2023-05-10 14:15:00,MA311C2325,MA311C2325,104.5,3.0,317.0,3.0,113.5,113.5,104.5,113.5,129.5,129.5,116.0,116.0,104.5,10.0,1115.0,9
2023-05-10 14:45:00,MA311C2325,MA311C2325,104.5,9.0,937.0,6.0,104.5,104.5,104.5,104.5,129.5,129.5,116.0,116.0,104.5,19.0,2052.0,15
2023-05-10 15:00:00,MA311C2325,MA311C2325,104.5,0.0,0.0,0.0,104.5,104.5,104.5,104.5,0.0,129.5,116.0,116.0,104.5,19.0,2052.0,15
